"RANK","NAME","TEAM","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Nikola Jokic","Den","C","30","46","36.2","29.8","13.5","285","0.814","700","0.604","207","0.464","0.625","0.662","29.7","12.7","10.3","1.8","0.7","3.1","42.4","40","52.7","17.4","133.7","107.4"
"","Giannis Antetokounmpo","Mil","F","30.2","41","34.9","36.3","14.1","440","0.577","825","0.624","32","0.188","0.611","0.62","31.8","12.2","5.9","0.8","1.3","3.4","43.9","37.6","49.8","15.1","118.8","105"
"","Luka Doncic","Dal","F-G","25.9","22","35.7","32.9","13.9","146","0.767","254","0.555","212","0.354","0.544","0.584","28.1","8.3","7.8","2","0.4","3.4","36.5","36","44.3","13.7","116.1","106.6"
"","Shai Gilgeous-Alexander","Okc","G","26.6","48","34.1","35","11","409","0.9","766","0.601","273","0.352","0.581","0.646","32.8","5.3","6","2","1","2.7","38.1","38.8","44.1","11.9","127.8","103.1"
"","De'Aaron Fox","San","G","27.1","1","37.1","26.4","4.3","0","0","15","0.6","7","0.286","0.545","0.545","24","5","13","3","0","1","29","37","42","12.5","128.9","107.9"
"","Cade Cunningham","Det","G","23.4","47","35.7","33","17.3","232","0.845","692","0.496","302","0.354","0.507","0.549","25.6","6.3","9.4","1","0.7","4.4","31.9","35","41.3","12.9","109.9","109.7"
"","Karl-Anthony Towns","Nyk","C-F","29.2","46","34.7","26.8","13.2","263","0.84","546","0.575","213","0.423","0.592","0.64","24.3","13.6","3.3","1","0.8","2.5","37.9","27.7","41.3","11.9","125.1","101.9"
"","LeBron James","Lal","F","40.1","46","34.7","30.6","17.2","210","0.767","582","0.57","256","0.391","0.575","0.605","24.5","7.8","9","0.9","0.5","3.8","32.2","33.5","41.3","13.8","116.6","111.7"
"","Domantas Sabonis","Sac","F-C","28.8","48","36","21.6","18.6","212","0.769","519","0.63","117","0.462","0.642","0.671","20.4","14.3","6.3","0.6","0.4","3","34.7","26.7","41","13.6","129","104.7"
"","Anthony Davis","Lal","F-C","31.9","42","34.3","30.4","10.9","321","0.788","663","0.561","94","0.298","0.547","0.602","25.7","11.9","3.4","1.3","2.1","2.2","37.6","29.1","41","11.8","120.2","107.1"
"","Jayson Tatum","Bos","F-G","26.9","49","36.3","30.5","12.6","316","0.801","480","0.548","488","0.357","0.541","0.588","26.6","8.7","5.7","1.2","0.5","2.9","35.2","32.2","40.9","12.1","116.4","105.3"
"","LaMelo Ball","Cha","G","23.5","31","33.3","37.4","13.8","172","0.82","341","0.51","380","0.337","0.508","0.548","28.2","5.3","7.3","1.4","0.3","3.7","33.4","35.5","40.7","12.4","110.6","106.5"
